[2025-12-30 13:39:20] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1455437922319859756/messages/1455450159105441946 with None has returned 204
[2025-12-30 13:39:20] [DEBUG   ] discord.http: DELETE /channels/{channel_id}/messages/{message_id}:sub-10-seconds has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-12-30 13:39:20] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1455437922319859756/messages/1455450159105441946 has received 
[2025-12-30 13:39:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 6, 'op': 0, 'd': {'id': '1455449971250823352', 'channel_id': '1455437922319859756', 'guild_id': '1455437921527140560'}}
[2025-12-30 13:39:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-30 13:39:23] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-12-30 13:39:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 7, 'op': 0, 'd': {'id': '1455449950241427456', 'channel_id': '1455437922319859756', 'guild_id': '1455437921527140560'}}
[2025-12-30 13:39:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-30 13:39:26] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-12-30 13:39:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 8, 'op': 0, 'd': {'id': '1455449948794519573', 'channel_id': '1455437922319859756', 'guild_id': '1455437921527140560'}}
[2025-12-30 13:39:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-30 13:39:29] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-12-30 13:39:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 9, 'op': 0, 'd': {'id': '1455449970156109825', 'channel_id': '1455437922319859756', 'guild_id': '1455437921527140560'}}
[2025-12-30 13:39:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-30 13:39:32] [DEBUG   ] discord.client: Dispatching event raw_message_delete
